session_id,material_english,force_n,slice_mode,segment_label,start_epoch,end_epoch,duration_s,audio_start_idx,audio_end_idx,tactile_row_start_idx,tactile_row_end_idx,video_frame_start,video_frame_end
brass_f3_r1_v1,brass,3,sliding,wins14,1607151186.600,1607151193.600,7.000,761600,873600,1458,1674,1425,1634
brass_f3_r1_v1,brass,3,sliding,wins15,1607151190.100,1607151197.100,7.000,817600,929600,1567,1782,1530,1739
brass_f3_r1_v1,brass,3,sliding,wins16,1607151193.600,1607151200.600,7.000,873600,985600,1674,1890,1634,1844
brass_f3_r1_v1,brass,3,sliding,wins17,1607151197.100,1607151204.100,7.000,929600,1041600,1783,1998,1739,1949
brass_f3_r1_v1,brass,3,sliding,winm01,1607151141.100,1607151151.400,10.300,33600,198400,46,369,63,371
brass_f3_r1_v1,brass,3,sliding,winm02,1607151146.250,1607151156.550,10.300,116000,280800,212,527,217,525
brass_f3_r1_v1,brass,3,sliding,winm03,1607151151.400,1607151161.700,10.300,198400,363200,370,684,371,680
brass_f3_r1_v1,brass,3,sliding,winm04,1607151156.550,1607151166.850,10.300,280800,445600,528,844,525,834
brass_f3_r1_v1,brass,3,sliding,winm05,1607151161.700,1607151172.000,10.300,363200,528000,685,1005,680,988
brass_f3_r1_v1,brass,3,sliding,winm06,1607151166.850,1607151177.150,10.300,445600,610400,845,1165,834,1142
brass_f3_r1_v1,brass,3,sliding,winm07,1607151172.000,1607151182.300,10.300,528000,692800,1006,1325,988,1296
brass_f3_r1_v1,brass,3,sliding,winm08,1607151177.150,1607151187.450,10.300,610400,775200,1166,1483,1142,1450
brass_f3_r1_v1,brass,3,sliding,winm09,1607151182.300,1607151192.600,10.300,692800,857600,1326,1643,1296,1605
brass_f3_r1_v1,brass,3,sliding,winm10,1607151187.450,1607151197.750,10.300,775200,940000,1484,1803,1450,1759
brass_f3_r1_v1,brass,3,sliding,winm11,1607151192.600,1607151202.900,10.300,857600,1022400,1644,1961,1605,1913
brass_f3_r1_v1,brass,3,sliding,winl01,1607151141.100,1607151155.100,14.000,33600,257600,46,483,63,482
brass_f3_r1_v1,brass,3,sliding,winl02,1607151148.100,1607151162.100,14.000,145600,369600,270,697,272,691
brass_f3_r1_v1,brass,3,sliding,winl03,1607151155.100,1607151169.100,14.000,257600,481600,484,914,482,901
brass_f3_r1_v1,brass,3,sliding,winl04,1607151162.100,1607151176.100,14.000,369600,593600,698,1132,691,1111
brass_f3_r1_v1,brass,3,sliding,winl05,1607151169.100,1607151183.100,14.000,481600,705600,914,1349,901,1320
brass_f3_r1_v1,brass,3,sliding,winl06,1607151176.100,1607151190.100,14.000,593600,817600,1133,1566,1111,1530
brass_f3_r1_v1,brass,3,sliding,winl07,1607151183.100,1607151197.100,14.000,705600,929600,1350,1782,1320,1739
brass_f3_r1_v1,brass,3,sliding,winl08,1607151190.100,1607151204.100,14.000,817600,1041600,1567,1998,1530,1949
brass_f6_r1_v1,brass,6,cycle,seg01,1607151373.160,1607151383.420,10.260,130560,294720,651,1760,244,550
brass_f6_r1_v1,brass,6,cycle,seg02,1607151383.420,1607151393.680,10.260,294720,458880,1761,2085,550,857
brass_f6_r1_v1,brass,6,cycle,seg03,1607151393.680,1607151403.940,10.260,458880,623040,2086,2402,857,1163
brass_f6_r1_v1,brass,6,cycle,seg04,1607151403.940,1607151414.200,10.260,623040,787200,2403,2719,1163,1470
brass_f6_r1_v1,brass,6,cycle,seg05,1607151414.200,1607151424.500,10.300,787200,952000,2720,3037,1470,1777
brass_f6_r1_v1,brass,6,sliding,wins01,1607151367.000,1607151374.000,7.000,32000,144000,0,744,60,269
brass_f6_r1_v1,brass,6,sliding,wins02,1607151370.500,1607151377.500,7.000,88000,200000,364,1122,164,373
brass_f6_r1_v1,brass,6,sliding,wins03,1607151374.000,1607151381.000,7.000,144000,256000,744,1518,269,478
brass_f6_r1_v1,brass,6,sliding,wins04,1607151377.500,1607151384.500,7.000,200000,312000,1123,1803,373,582
brass_f6_r1_v1,brass,6,sliding,wins05,1607151381.000,1607151388.000,7.000,256000,368000,1518,1910,478,687
brass_f6_r1_v1,brass,6,sliding,wins06,1607151384.500,1607151391.500,7.000,312000,424000,1803,2017,582,792
brass_f6_r1_v1,brass,6,sliding,wins07,1607151388.000,1607151395.000,7.000,368000,480000,1910,2126,687,896
brass_f6_r1_v1,brass,6,sliding,wins08,1607151391.500,1607151398.500,7.000,424000,536000,2018,2234,792,1001
brass_f6_r1_v1,brass,6,sliding,wins09,1607151395.000,1607151402.000,7.000,480000,592000,2126,2342,896,1105
brass_f6_r1_v1,brass,6,sliding,wins10,1607151398.500,1607151405.500,7.000,536000,648000,2235,2449,1001,1210
brass_f6_r1_v1,brass,6,sliding,wins11,1607151402.000,1607151409.000,7.000,592000,704000,2342,2556,1105,1314
brass_f6_r1_v1,brass,6,sliding,wins12,1607151405.500,1607151412.500,7.000,648000,760000,2450,2666,1210,1419
brass_f6_r1_v1,brass,6,sliding,wins13,1607151409.000,1607151416.000,7.000,704000,816000,2556,2775,1314,1523
brass_f6_r1_v1,brass,6,sliding,wins14,1607151412.500,1607151419.500,7.000,760000,872000,2666,2884,1419,1628
brass_f6_r1_v1,brass,6,sliding,wins15,1607151416.000,1607151423.000,7.000,816000,928000,2775,2991,1523,1732
brass_f6_r1_v1,brass,6,sliding,wins16,1607151419.500,1607151426.500,7.000,872000,984000,2884,3099,1628,1837
brass_f6_r1_v1,brass,6,sliding,wins17,1607151423.000,1607151430.000,7.000,928000,1040000,2991,3206,1732,1942
brass_f6_r1_v1,brass,6,sliding,winm01,1607151367.000,1607151377.300,10.300,32000,196800,0,1101,60,367
brass_f6_r1_v1,brass,6,sliding,winm02,1607151372.150,1607151382.450,10.300,114400,279200,541,1678,214,521
brass_f6_r1_v1,brass,6,sliding,winm03,1607151377.300,1607151387.600,10.300,196800,361600,1102,1897,367,675
brass_f6_r1_v1,brass,6,sliding,winm04,1607151382.450,1607151392.750,10.300,279200,444000,1679,2057,521,829
brass_f6_r1_v1,brass,6,sliding,winm05,1607151387.600,1607151397.900,10.300,361600,526400,1898,2215,675,983
brass_f6_r1_v1,brass,6,sliding,winm06,1607151392.750,1607151403.050,10.300,444000,608800,2058,2374,829,1137
brass_f6_r1_v1,brass,6,sliding,winm07,1607151397.900,1607151408.200,10.300,526400,691200,2216,2532,983,1290
brass_f6_r1_v1,brass,6,sliding,winm08,1607151403.050,1607151413.350,10.300,608800,773600,2375,2692,1137,1444
brass_f6_r1_v1,brass,6,sliding,winm09,1607151408.200,1607151418.500,10.300,691200,856000,2533,2853,1290,1598
brass_f6_r1_v1,brass,6,sliding,winm10,1607151413.350,1607151423.650,10.300,773600,938400,2693,3011,1444,1752
brass_f6_r1_v1,brass,6,sliding,winm11,1607151418.500,1607151428.800,10.300,856000,1020800,2854,3169,1598,1906
brass_f6_r1_v1,brass,6,sliding,winl01,1607151367.000,1607151381.000,14.000,32000,256000,0,1518,60,478
brass_f6_r1_v1,brass,6,sliding,winl02,1607151374.000,1607151388.000,14.000,144000,368000,744,1910,269,687
brass_f6_r1_v1,brass,6,sliding,winl03,1607151381.000,1607151395.000,14.000,256000,480000,1518,2126,478,896
brass_f6_r1_v1,brass,6,sliding,winl04,1607151388.000,1607151402.000,14.000,368000,592000,1910,2342,687,1105
brass_f6_r1_v1,brass,6,sliding,winl05,1607151395.000,1607151409.000,14.000,480000,704000,2126,2556,896,1314
brass_f6_r1_v1,brass,6,sliding,winl06,1607151402.000,1607151416.000,14.000,592000,816000,2342,2775,1105,1523
brass_f6_r1_v1,brass,6,sliding,winl07,1607151409.000,1607151423.000,14.000,704000,928000,2556,2991,1314,1732
brass_f6_r1_v1,brass,6,sliding,winl08,1607151416.000,1607151430.000,14.000,816000,1040000,2775,3206,1523,1942
brass_f9_r1_v1,brass,9,cycle,seg01,1607152514.380,1607152524.560,10.180,134080,296960,247,561,250,554
brass_f9_r1_v1,brass,9,cycle,seg02,1607152524.560,1607152534.740,10.180,296960,459840,562,873,554,858
brass_f9_r1_v1,brass,9,cycle,seg03,1607152534.740,1607152544.920,10.180,459840,622720,874,1188,858,1161
brass_f9_r1_v1,brass,9,cycle,seg04,1607152544.920,1607152555.140,10.220,622720,786240,1189,1505,1161,1466
brass_f9_r1_v1,brass,9,cycle,seg05,1607152555.140,1607152565.320,10.180,786240,949120,1506,1817,1466,1770
brass_f9_r1_v1,brass,9,sliding,wins01,1607152507.400,1607152514.400,7.000,22400,134400,29,246,42,251
brass_f9_r1_v1,brass,9,sliding,wins02,1607152510.900,1607152517.900,7.000,78400,190400,138,355,146,355
brass_f9_r1_v1,brass,9,sliding,wins03,1607152514.400,1607152521.400,7.000,134400,246400,247,464,251,460
brass_f9_r1_v1,brass,9,sliding,wins04,1607152517.900,1607152524.900,7.000,190400,302400,356,571,355,564
brass_f9_r1_v1,brass,9,sliding,wins05,1607152521.400,1607152528.400,7.000,246400,358400,465,678,460,668
brass_f9_r1_v1,brass,9,sliding,wins06,1607152524.900,1607152531.900,7.000,302400,414400,572,787,564,773
brass_f9_r1_v1,brass,9,sliding,wins07,1607152528.400,1607152535.400,7.000,358400,470400,678,894,668,877
brass_f9_r1_v1,brass,9,sliding,wins08,1607152531.900,1607152538.900,7.000,414400,526400,788,1003,773,982
brass_f9_r1_v1,brass,9,sliding,wins09,1607152535.400,1607152542.400,7.000,470400,582400,895,1111,877,1086
brass_f9_r1_v1,brass,9,sliding,wins10,1607152538.900,1607152545.900,7.000,526400,638400,1004,1219,982,1191
brass_f9_r1_v1,brass,9,sliding,wins11,1607152542.400,1607152549.400,7.000,582400,694400,1111,1328,1086,1295
brass_f9_r1_v1,brass,9,sliding,wins12,1607152545.900,1607152552.900,7.000,638400,750400,1220,1436,1191,1399
brass_f9_r1_v1,brass,9,sliding,wins13,1607152549.400,1607152556.400,7.000,694400,806400,1329,1543,1295,1504
brass_f9_r1_v1,brass,9,sliding,wins14,1607152552.900,1607152559.900,7.000,750400,862400,1436,1649,1399,1608
brass_f9_r1_v1,brass,9,sliding,wins15,1607152556.400,1607152563.400,7.000,806400,918400,1544,1757,1504,1713
brass_f9_r1_v1,brass,9,sliding,wins16,1607152559.900,1607152566.900,7.000,862400,974400,1650,1866,1608,1817
brass_f9_r1_v1,brass,9,sliding,wins17,1607152563.400,1607152570.400,7.000,918400,1030400,1758,1976,1713,1922
brass_f9_r1_v1,brass,9,sliding,winm01,1607152507.400,1607152517.700,10.300,22400,187200,29,349,42,349
brass_f9_r1_v1,brass,9,sliding,winm02,1607152512.550,1607152522.850,10.300,104800,269600,190,508,195,503
brass_f9_r1_v1,brass,9,sliding,winm03,1607152517.700,1607152528.000,10.300,187200,352000,350,666,349,656
brass_f9_r1_v1,brass,9,sliding,winm04,1607152522.850,1607152533.150,10.300,269600,434400,509,824,503,810
brass_f9_r1_v1,brass,9,sliding,winm05,1607152528.000,1607152538.300,10.300,352000,516800,667,984,656,964
brass_f9_r1_v1,brass,9,sliding,winm06,1607152533.150,1607152543.450,10.300,434400,599200,825,1142,810,1118
brass_f9_r1_v1,brass,9,sliding,winm07,1607152538.300,1607152548.600,10.300,516800,681600,985,1303,964,1271
brass_f9_r1_v1,brass,9,sliding,winm08,1607152543.450,1607152553.750,10.300,599200,764000,1143,1462,1118,1425
brass_f9_r1_v1,brass,9,sliding,winm09,1607152548.600,1607152558.900,10.300,681600,846400,1304,1619,1271,1579
brass_f9_r1_v1,brass,9,sliding,winm10,1607152553.750,1607152564.050,10.300,764000,928800,1463,1777,1425,1732
brass_f9_r1_v1,brass,9,sliding,winm11,1607152558.900,1607152569.200,10.300,846400,1011200,1620,1938,1579,1886
brass_f9_r1_v1,brass,9,sliding,winl01,1607152507.400,1607152521.400,14.000,22400,246400,29,464,42,460
brass_f9_r1_v1,brass,9,sliding,winl02,1607152514.400,1607152528.400,14.000,134400,358400,247,678,251,668
brass_f9_r1_v1,brass,9,sliding,winl03,1607152521.400,1607152535.400,14.000,246400,470400,465,894,460,877
brass_f9_r1_v1,brass,9,sliding,winl04,1607152528.400,1607152542.400,14.000,358400,582400,678,1111,668,1086
brass_f9_r1_v1,brass,9,sliding,winl05,1607152535.400,1607152549.400,14.000,470400,694400,895,1328,877,1295
brass_f9_r1_v1,brass,9,sliding,winl06,1607152542.400,1607152556.400,14.000,582400,806400,1111,1543,1086,1504
brass_f9_r1_v1,brass,9,sliding,winl07,1607152549.400,1607152563.400,14.000,694400,918400,1329,1757,1295,1713
brass_f9_r1_v1,brass,9,sliding,winl08,1607152556.400,1607152570.400,14.000,806400,1030400,1544,1976,1504,1922
linen_f3_r1_v1,linen,3,cycle,seg01,1607135162.180,1607135172.740,10.560,146880,315840,245,568,271,583
linen_f3_r1_v1,linen,3,cycle,seg02,1607135172.740,1607135183.240,10.500,315840,483840,569,893,583,893
linen_f3_r1_v1,linen,3,cycle,seg03,1607135183.240,1607135193.780,10.540,483840,652480,894,1219,893,1205
linen_f3_r1_v1,linen,3,cycle,seg04,1607135193.780,1607135204.340,10.560,652480,821440,1220,1545,1205,1517
linen_f3_r1_v1,linen,3,cycle,seg05,1607135204.340,1607135214.880,10.540,821440,990080,1546,1868,1517,1828
linen_f3_r1_v1,linen,3,sliding,wins01,1607135155.220,1607135162.220,7.000,35520,147520,31,246,66,272
linen_f3_r1_v1,linen,3,sliding,wins02,1607135158.720,1607135165.720,7.000,91520,203520,139,354,169,376
linen_f3_r1_v1,linen,3,sliding,wins03,1607135162.220,1607135169.220,7.000,147520,259520,247,461,272,479
linen_f3_r1_v1,linen,3,sliding,wins04,1607135165.720,1607135172.720,7.000,203520,315520,355,568,376,583
linen_f3_r1_v1,linen,3,sliding,wins05,1607135169.220,1607135176.220,7.000,259520,371520,462,675,479,686
linen_f3_r1_v1,linen,3,sliding,wins06,1607135172.720,1607135179.720,7.000,315520,427520,569,783,583,789
linen_f3_r1_v1,linen,3,sliding,wins07,1607135176.220,1607135183.220,7.000,371520,483520,676,892,686,893
linen_f3_r1_v1,linen,3,sliding,wins08,1607135179.720,1607135186.720,7.000,427520,539520,784,1001,789,996
linen_f3_r1_v1,linen,3,sliding,wins09,1607135183.220,1607135190.220,7.000,483520,595520,893,1108,893,1100
linen_f3_r1_v1,linen,3,sliding,wins10,1607135186.720,1607135193.720,7.000,539520,651520,1002,1217,996,1203
linen_f3_r1_v1,linen,3,sliding,wins11,1607135190.220,1607135197.220,7.000,595520,707520,1109,1325,1100,1307
linen_f3_r1_v1,linen,3,sliding,wins12,1607135193.720,1607135200.720,7.000,651520,763520,1218,1433,1203,1410
linen_f3_r1_v1,linen,3,sliding,wins13,1607135197.220,1607135204.220,7.000,707520,819520,1326,1541,1307,1513
linen_f3_r1_v1,linen,3,sliding,wins14,1607135200.720,1607135207.720,7.000,763520,875520,1434,1650,1410,1617
linen_f3_r1_v1,linen,3,sliding,wins15,1607135204.220,1607135211.220,7.000,819520,931520,1542,1757,1513,1720
linen_f3_r1_v1,linen,3,sliding,wins16,1607135207.720,1607135214.720,7.000,875520,987520,1651,1863,1617,1824
linen_f3_r1_v1,linen,3,sliding,wins17,1607135211.220,1607135218.220,7.000,931520,1043520,1758,1971,1720,1927
linen_f3_r1_v1,linen,3,sliding,wins18,1607135214.720,1607135221.720,7.000,987520,1099520,1864,2078,1824,2030
linen_f3_r1_v1,linen,3,sliding,winm01,1607135155.220,1607135165.520,10.300,35520,200320,31,348,66,370
linen_f3_r1_v1,linen,3,sliding,winm02,1607135160.370,1607135170.670,10.300,117920,282720,189,506,218,522
linen_f3_r1_v1,linen,3,sliding,winm03,1607135165.520,1607135175.820,10.300,200320,365120,349,663,370,674
linen_f3_r1_v1,linen,3,sliding,winm04,1607135170.670,1607135180.970,10.300,282720,447520,507,823,522,826
linen_f3_r1_v1,linen,3,sliding,winm05,1607135175.820,1607135186.120,10.300,365120,529920,664,982,674,979
linen_f3_r1_v1,linen,3,sliding,winm06,1607135180.970,1607135191.270,10.300,447520,612320,824,1141,826,1131
linen_f3_r1_v1,linen,3,sliding,winm07,1607135186.120,1607135196.420,10.300,529920,694720,983,1300,979,1283
linen_f3_r1_v1,linen,3,sliding,winm08,1607135191.270,1607135201.570,10.300,612320,777120,1142,1459,1131,1435
linen_f3_r1_v1,linen,3,sliding,winm09,1607135196.420,1607135206.720,10.300,694720,859520,1301,1618,1283,1587
linen_f3_r1_v1,linen,3,sliding,winm10,1607135201.570,1607135211.870,10.300,777120,941920,1460,1777,1435,1739
linen_f3_r1_v1,linen,3,sliding,winm11,1607135206.720,1607135217.020,10.300,859520,1024320,1619,1933,1587,1892
linen_f3_r1_v1,linen,3,sliding,winl01,1607135155.220,1607135169.220,14.000,35520,259520,31,461,66,479
linen_f3_r1_v1,linen,3,sliding,winl02,1607135162.220,1607135176.220,14.000,147520,371520,247,675,272,686
linen_f3_r1_v1,linen,3,sliding,winl03,1607135169.220,1607135183.220,14.000,259520,483520,462,892,479,893
linen_f3_r1_v1,linen,3,sliding,winl04,1607135176.220,1607135190.220,14.000,371520,595520,676,1108,686,1100
linen_f3_r1_v1,linen,3,sliding,winl05,1607135183.220,1607135197.220,14.000,483520,707520,893,1325,893,1307
linen_f3_r1_v1,linen,3,sliding,winl06,1607135190.220,1607135204.220,14.000,595520,819520,1109,1541,1100,1513
linen_f3_r1_v1,linen,3,sliding,winl07,1607135197.220,1607135211.220,14.000,707520,931520,1326,1757,1307,1720
linen_f3_r1_v1,linen,3,sliding,winl08,1607135204.220,1607135218.220,14.000,819520,1043520,1542,1971,1513,1927
linen_f6_r1_v1,linen,6,cycle,seg01,1607135346.740,1607135357.340,10.600,139840,309440,545,871,261,577
linen_f6_r1_v1,linen,6,cycle,seg02,1607135357.340,1607135367.920,10.580,309440,478720,872,1196,577,892
linen_f6_r1_v1,linen,6,cycle,seg03,1607135367.920,1607135378.540,10.620,478720,648640,1197,1524,892,1209
linen_f6_r1_v1,linen,6,cycle,seg04,1607135378.540,1607135389.140,10.600,648640,818240,1525,1850,1209,1525
linen_f6_r1_v1,linen,6,cycle,seg05,1607135389.140,1607135399.760,10.620,818240,988160,1851,2178,1525,1842
linen_f6_r1_v1,linen,6,sliding,wins01,1607135340.000,1607135347.000,7.000,32000,144000,0,553,60,268
linen_f6_r1_v1,linen,6,sliding,wins02,1607135343.500,1607135350.500,7.000,88000,200000,335,659,164,373
linen_f6_r1_v1,linen,6,sliding,wins03,1607135347.000,1607135354.000,7.000,144000,256000,553,768,268,477
linen_f6_r1_v1,linen,6,sliding,wins04,1607135350.500,1607135357.500,7.000,200000,312000,660,876,373,581
linen_f6_r1_v1,linen,6,sliding,wins05,1607135354.000,1607135361.000,7.000,256000,368000,768,983,477,686
linen_f6_r1_v1,linen,6,sliding,wins06,1607135357.500,1607135364.500,7.000,312000,424000,877,1092,581,790
linen_f6_r1_v1,linen,6,sliding,wins07,1607135361.000,1607135368.000,7.000,368000,480000,983,1199,686,895
linen_f6_r1_v1,linen,6,sliding,wins08,1607135364.500,1607135371.500,7.000,424000,536000,1093,1307,790,999
linen_f6_r1_v1,linen,6,sliding,wins09,1607135368.000,1607135375.000,7.000,480000,592000,1199,1415,895,1103
linen_f6_r1_v1,linen,6,sliding,wins10,1607135371.500,1607135378.500,7.000,536000,648000,1307,1523,999,1208
linen_f6_r1_v1,linen,6,sliding,wins11,1607135375.000,1607135382.000,7.000,592000,704000,1415,1630,1103,1312
linen_f6_r1_v1,linen,6,sliding,wins12,1607135378.500,1607135385.500,7.000,648000,760000,1524,1738,1208,1416
linen_f6_r1_v1,linen,6,sliding,wins13,1607135382.000,1607135389.000,7.000,704000,816000,1630,1846,1312,1521
linen_f6_r1_v1,linen,6,sliding,wins14,1607135385.500,1607135392.500,7.000,760000,872000,1738,1955,1416,1625
linen_f6_r1_v1,linen,6,sliding,wins15,1607135389.000,1607135396.000,7.000,816000,928000,1846,2063,1521,1729
linen_f6_r1_v1,linen,6,sliding,wins16,1607135392.500,1607135399.500,7.000,872000,984000,1955,2171,1625,1834
linen_f6_r1_v1,linen,6,sliding,wins17,1607135396.000,1607135403.000,7.000,928000,1040000,2063,2278,1729,1938
linen_f6_r1_v1,linen,6,sliding,wins18,1607135399.500,1607135406.500,7.000,984000,1096000,2171,2387,1834,2043
linen_f6_r1_v1,linen,6,sliding,winm01,1607135340.000,1607135350.300,10.300,32000,196800,0,653,60,367
linen_f6_r1_v1,linen,6,sliding,winm02,1607135345.150,1607135355.450,10.300,114400,279200,496,812,213,520
linen_f6_r1_v1,linen,6,sliding,winm03,1607135350.300,1607135360.600,10.300,196800,361600,654,971,367,674
linen_f6_r1_v1,linen,6,sliding,winm04,1607135355.450,1607135365.750,10.300,279200,444000,813,1130,520,827
linen_f6_r1_v1,linen,6,sliding,winm05,1607135360.600,1607135370.900,10.300,361600,526400,972,1287,674,981
linen_f6_r1_v1,linen,6,sliding,winm06,1607135365.750,1607135376.050,10.300,444000,608800,1131,1447,827,1135
linen_f6_r1_v1,linen,6,sliding,winm07,1607135370.900,1607135381.200,10.300,526400,691200,1288,1605,981,1288
linen_f6_r1_v1,linen,6,sliding,winm08,1607135376.050,1607135386.350,10.300,608800,773600,1448,1763,1135,1442
linen_f6_r1_v1,linen,6,sliding,winm09,1607135381.200,1607135391.500,10.300,691200,856000,1606,1923,1288,1595
linen_f6_r1_v1,linen,6,sliding,winm10,1607135386.350,1607135396.650,10.300,773600,938400,1764,2083,1442,1749
linen_f6_r1_v1,linen,6,sliding,winm11,1607135391.500,1607135401.800,10.300,856000,1020800,1924,2240,1595,1902
linen_f6_r1_v1,linen,6,sliding,winl01,1607135340.000,1607135354.000,14.000,32000,256000,0,768,60,477
linen_f6_r1_v1,linen,6,sliding,winl02,1607135347.000,1607135361.000,14.000,144000,368000,553,983,268,686
linen_f6_r1_v1,linen,6,sliding,winl03,1607135354.000,1607135368.000,14.000,256000,480000,768,1199,477,895
linen_f6_r1_v1,linen,6,sliding,winl04,1607135361.000,1607135375.000,14.000,368000,592000,983,1415,686,1103
linen_f6_r1_v1,linen,6,sliding,winl05,1607135368.000,1607135382.000,14.000,480000,704000,1199,1630,895,1312
linen_f6_r1_v1,linen,6,sliding,winl06,1607135375.000,1607135389.000,14.000,592000,816000,1415,1846,1103,1521
linen_f6_r1_v1,linen,6,sliding,winl07,1607135382.000,1607135396.000,14.000,704000,928000,1630,2063,1312,1729
linen_f6_r1_v1,linen,6,sliding,winl08,1607135389.000,1607135403.000,14.000,816000,1040000,1846,2278,1521,1938
linen_f9_r1_v1,linen,9,cycle,seg01,1607135579.200,1607135589.860,10.660,147200,317760,699,1836,277,597
linen_f9_r1_v1,linen,9,cycle,seg02,1607135589.860,1607135600.540,10.680,317760,488640,1837,3114,597,918
linen_f9_r1_v1,linen,9,cycle,seg03,1607135600.540,1607135611.220,10.680,488640,659520,3115,4525,918,1239
linen_f9_r1_v1,linen,9,cycle,seg04,1607135611.220,1607135621.840,10.620,659520,829440,4526,5920,1239,1559
linen_f9_r1_v1,linen,9,cycle,seg05,1607135621.840,1607135632.520,10.680,829440,1000320,5921,7323,1559,1880
linen_f9_r1_v1,linen,9,sliding,wins01,1607135572.000,1607135579.000,7.000,32000,144000,0,677,60,271
linen_f9_r1_v1,linen,9,sliding,wins02,1607135575.500,1607135582.500,7.000,88000,200000,312,1056,165,376
linen_f9_r1_v1,linen,9,sliding,wins03,1607135579.000,1607135586.000,7.000,144000,256000,677,1433,271,481
linen_f9_r1_v1,linen,9,sliding,wins04,1607135582.500,1607135589.500,7.000,200000,312000,1057,1794,376,586
linen_f9_r1_v1,linen,9,sliding,wins05,1607135586.000,1607135593.000,7.000,256000,368000,1433,2142,481,691
linen_f9_r1_v1,linen,9,sliding,wins06,1607135589.500,1607135596.500,7.000,312000,424000,1794,2568,586,797
linen_f9_r1_v1,linen,9,sliding,wins07,1607135593.000,1607135600.000,7.000,368000,480000,2142,3046,691,902
linen_f9_r1_v1,linen,9,sliding,wins08,1607135596.500,1607135603.500,7.000,424000,536000,2568,3507,797,1007
linen_f9_r1_v1,linen,9,sliding,wins09,1607135600.000,1607135607.000,7.000,480000,592000,3046,3955,902,1112
linen_f9_r1_v1,linen,9,sliding,wins10,1607135603.500,1607135610.500,7.000,536000,648000,3508,4426,1007,1218
linen_f9_r1_v1,linen,9,sliding,wins11,1607135607.000,1607135614.000,7.000,592000,704000,3955,4881,1112,1323
linen_f9_r1_v1,linen,9,sliding,wins12,1607135610.500,1607135617.500,7.000,648000,760000,4426,5346,1218,1428
linen_f9_r1_v1,linen,9,sliding,wins13,1607135614.000,1607135621.000,7.000,704000,816000,4881,5805,1323,1533
linen_f9_r1_v1,linen,9,sliding,wins14,1607135617.500,1607135624.500,7.000,760000,872000,5347,6277,1428,1639
linen_f9_r1_v1,linen,9,sliding,wins15,1607135621.000,1607135628.000,7.000,816000,928000,5805,6731,1533,1744
linen_f9_r1_v1,linen,9,sliding,wins16,1607135624.500,1607135631.500,7.000,872000,984000,6278,7191,1639,1849
linen_f9_r1_v1,linen,9,sliding,wins17,1607135628.000,1607135635.000,7.000,928000,1040000,6731,7669,1744,1954
linen_f9_r1_v1,linen,9,sliding,wins18,1607135631.500,1607135638.500,7.000,984000,1096000,7191,8132,1849,2059
linen_f9_r1_v1,linen,9,sliding,winm01,1607135572.000,1607135582.300,10.300,32000,196800,0,1036,60,370
linen_f9_r1_v1,linen,9,sliding,winm02,1607135577.150,1607135587.450,10.300,114400,279200,489,1582,215,525
