sample_id,session_id,material_english,material_pinyin,material_chinese,class_id,force_n,path_type,camera_view,slice_mode,phase,parent_cycle,segment_label,split,start_epoch,end_epoch,duration_s,audio_path,tactile_path,video_path
VisTouch_brass_f9_r1_v1_idle01,brass_f9_r1_v1,brass,huangtong,黄铜,0,9,1,1,idle,idle,,idle01,test,1607152506.000,1607152514.380,8.380,../dataset20260818/audio/brass/VisTouch_brass_f9_r1_v1_idle01.wav,../dataset20260818/tactile/brass/VisTouch_brass_f9_r1_v1_idle01.csv,../dataset20260818/video/brass/VisTouch_brass_f9_r1_v1_idle01.avi
VisTouch_brass_f9_r1_v1_seg01a,brass_f9_r1_v1,brass,huangtong,黄铜,0,9,1,1,half,rise,seg01,seg01a,test,1607152514.380,1607152520.680,6.300,../dataset20260818/audio/brass/VisTouch_brass_f9_r1_v1_seg01a.wav,../dataset20260818/tactile/brass/VisTouch_brass_f9_r1_v1_seg01a.csv,../dataset20260818/video/brass/VisTouch_brass_f9_r1_v1_seg01a.avi
VisTouch_brass_f9_r1_v1_seg01b,brass_f9_r1_v1,brass,huangtong,黄铜,0,9,1,1,half,fall,seg01,seg01b,test,1607152520.680,1607152524.560,3.880,../dataset20260818/audio/brass/VisTouch_brass_f9_r1_v1_seg01b.wav,../dataset20260818/tactile/brass/VisTouch_brass_f9_r1_v1_seg01b.csv,../dataset20260818/video/brass/VisTouch_brass_f9_r1_v1_seg01b.avi
VisTouch_brass_f9_r1_v1_seg02a,brass_f9_r1_v1,brass,huangtong,黄铜,0,9,1,1,half,rise,seg02,seg02a,test,1607152524.560,1607152530.860,6.300,../dataset20260818/audio/brass/VisTouch_brass_f9_r1_v1_seg02a.wav,../dataset20260818/tactile/brass/VisTouch_brass_f9_r1_v1_seg02a.csv,../dataset20260818/video/brass/VisTouch_brass_f9_r1_v1_seg02a.avi
VisTouch_brass_f9_r1_v1_seg02b,brass_f9_r1_v1,brass,huangtong,黄铜,0,9,1,1,half,fall,seg02,seg02b,test,1607152530.860,1607152534.740,3.880,../dataset20260818/audio/brass/VisTouch_brass_f9_r1_v1_seg02b.wav,../dataset20260818/tactile/brass/VisTouch_brass_f9_r1_v1_seg02b.csv,../dataset20260818/video/brass/VisTouch_brass_f9_r1_v1_seg02b.avi
VisTouch_brass_f9_r1_v1_seg03a,brass_f9_r1_v1,brass,huangtong,黄铜,0,9,1,1,half,rise,seg03,seg03a,test,1607152534.740,1607152541.060,6.320,../dataset20260818/audio/brass/VisTouch_brass_f9_r1_v1_seg03a.wav,../dataset20260818/tactile/brass/VisTouch_brass_f9_r1_v1_seg03a.csv,../dataset20260818/video/brass/VisTouch_brass_f9_r1_v1_seg03a.avi
VisTouch_brass_f9_r1_v1_seg03b,brass_f9_r1_v1,brass,huangtong,黄铜,0,9,1,1,half,fall,seg03,seg03b,test,1607152541.060,1607152544.920,3.860,../dataset20260818/audio/brass/VisTouch_brass_f9_r1_v1_seg03b.wav,../dataset20260818/tactile/brass/VisTouch_brass_f9_r1_v1_seg03b.csv,../dataset20260818/video/brass/VisTouch_brass_f9_r1_v1_seg03b.avi
VisTouch_brass_f9_r1_v1_seg04a,brass_f9_r1_v1,brass,huangtong,黄铜,0,9,1,1,half,rise,seg04,seg04a,test,1607152544.920,1607152551.270,6.350,../dataset20260818/audio/brass/VisTouch_brass_f9_r1_v1_seg04a.wav,../dataset20260818/tactile/brass/VisTouch_brass_f9_r1_v1_seg04a.csv,../dataset20260818/video/brass/VisTouch_brass_f9_r1_v1_seg04a.avi
VisTouch_brass_f9_r1_v1_seg04b,brass_f9_r1_v1,brass,huangtong,黄铜,0,9,1,1,half,fall,seg04,seg04b,test,1607152551.270,1607152555.140,3.870,../dataset20260818/audio/brass/VisTouch_brass_f9_r1_v1_seg04b.wav,../dataset20260818/tactile/brass/VisTouch_brass_f9_r1_v1_seg04b.csv,../dataset20260818/video/brass/VisTouch_brass_f9_r1_v1_seg04b.avi
VisTouch_brass_f9_r1_v1_seg05a,brass_f9_r1_v1,brass,huangtong,黄铜,0,9,1,1,half,rise,seg05,seg05a,test,1607152555.140,1607152561.440,6.300,../dataset20260818/audio/brass/VisTouch_brass_f9_r1_v1_seg05a.wav,../dataset20260818/tactile/brass/VisTouch_brass_f9_r1_v1_seg05a.csv,../dataset20260818/video/brass/VisTouch_brass_f9_r1_v1_seg05a.avi
VisTouch_brass_f9_r1_v1_seg05b,brass_f9_r1_v1,brass,huangtong,黄铜,0,9,1,1,half,fall,seg05,seg05b,test,1607152561.440,1607152565.320,3.880,../dataset20260818/audio/brass/VisTouch_brass_f9_r1_v1_seg05b.wav,../dataset20260818/tactile/brass/VisTouch_brass_f9_r1_v1_seg05b.csv,../dataset20260818/video/brass/VisTouch_brass_f9_r1_v1_seg05b.avi
VisTouch_brass_f9_r1_v1_idle02,brass_f9_r1_v1,brass,huangtong,黄铜,0,9,1,1,idle,idle,,idle02,test,1607152565.320,1607152571.160,5.840,../dataset20260818/audio/brass/VisTouch_brass_f9_r1_v1_idle02.wav,../dataset20260818/tactile/brass/VisTouch_brass_f9_r1_v1_idle02.csv,../dataset20260818/video/brass/VisTouch_brass_f9_r1_v1_idle02.avi
VisTouch_brass_f9_r1_v1_idle03,brass_f9_r1_v1,brass,huangtong,黄铜,0,9,1,1,idle,idle,,idle03,test,1607152571.160,1607152577.000,5.840,../dataset20260818/audio/brass/VisTouch_brass_f9_r1_v1_idle03.wav,../dataset20260818/tactile/brass/VisTouch_brass_f9_r1_v1_idle03.csv,../dataset20260818/video/brass/VisTouch_brass_f9_r1_v1_idle03.avi
VisTouch_linen_f3_r1_v1_idle01,linen_f3_r1_v1,linen,mabu,麻布,1,3,1,1,idle,idle,,idle01,train,1607135154.000,1607135162.180,8.180,../dataset20260818/audio/linen/VisTouch_linen_f3_r1_v1_idle01.wav,../dataset20260818/tactile/linen/VisTouch_linen_f3_r1_v1_idle01.csv,../dataset20260818/video/linen/VisTouch_linen_f3_r1_v1_idle01.avi
VisTouch_linen_f3_r1_v1_seg01a,linen_f3_r1_v1,linen,mabu,麻布,1,3,1,1,half,rise,seg01,seg01a,train,1607135162.180,1607135168.640,6.460,../dataset20260818/audio/linen/VisTouch_linen_f3_r1_v1_seg01a.wav,../dataset20260818/tactile/linen/VisTouch_linen_f3_r1_v1_seg01a.csv,../dataset20260818/video/linen/VisTouch_linen_f3_r1_v1_seg01a.avi
VisTouch_linen_f3_r1_v1_seg01b,linen_f3_r1_v1,linen,mabu,麻布,1,3,1,1,half,fall,seg01,seg01b,train,1607135168.640,1607135172.740,4.100,../dataset20260818/audio/linen/VisTouch_linen_f3_r1_v1_seg01b.wav,../dataset20260818/tactile/linen/VisTouch_linen_f3_r1_v1_seg01b.csv,../dataset20260818/video/linen/VisTouch_linen_f3_r1_v1_seg01b.avi
VisTouch_linen_f3_r1_v1_seg02a,linen_f3_r1_v1,linen,mabu,麻布,1,3,1,1,half,rise,seg02,seg02a,train,1607135172.740,1607135179.160,6.420,../dataset20260818/audio/linen/VisTouch_linen_f3_r1_v1_seg02a.wav,../dataset20260818/tactile/linen/VisTouch_linen_f3_r1_v1_seg02a.csv,../dataset20260818/video/linen/VisTouch_linen_f3_r1_v1_seg02a.avi
VisTouch_linen_f3_r1_v1_seg02b,linen_f3_r1_v1,linen,mabu,麻布,1,3,1,1,half,fall,seg02,seg02b,train,1607135179.160,1607135183.240,4.080,../dataset20260818/audio/linen/VisTouch_linen_f3_r1_v1_seg02b.wav,../dataset20260818/tactile/linen/VisTouch_linen_f3_r1_v1_seg02b.csv,../dataset20260818/video/linen/VisTouch_linen_f3_r1_v1_seg02b.avi
VisTouch_linen_f3_r1_v1_seg03a,linen_f3_r1_v1,linen,mabu,麻布,1,3,1,1,half,rise,seg03,seg03a,train,1607135183.240,1607135189.680,6.440,../dataset20260818/audio/linen/VisTouch_linen_f3_r1_v1_seg03a.wav,../dataset20260818/tactile/linen/VisTouch_linen_f3_r1_v1_seg03a.csv,../dataset20260818/video/linen/VisTouch_linen_f3_r1_v1_seg03a.avi
VisTouch_linen_f3_r1_v1_seg03b,linen_f3_r1_v1,linen,mabu,麻布,1,3,1,1,half,fall,seg03,seg03b,train,1607135189.680,1607135193.780,4.100,../dataset20260818/audio/linen/VisTouch_linen_f3_r1_v1_seg03b.wav,../dataset20260818/tactile/linen/VisTouch_linen_f3_r1_v1_seg03b.csv,../dataset20260818/video/linen/VisTouch_linen_f3_r1_v1_seg03b.avi
VisTouch_linen_f3_r1_v1_seg04a,linen_f3_r1_v1,linen,mabu,麻布,1,3,1,1,half,rise,seg04,seg04a,train,1607135193.780,1607135200.240,6.460,../dataset20260818/audio/linen/VisTouch_linen_f3_r1_v1_seg04a.wav,../dataset20260818/tactile/linen/VisTouch_linen_f3_r1_v1_seg04a.csv,../dataset20260818/video/linen/VisTouch_linen_f3_r1_v1_seg04a.avi
VisTouch_linen_f3_r1_v1_seg04b,linen_f3_r1_v1,linen,mabu,麻布,1,3,1,1,half,fall,seg04,seg04b,train,1607135200.240,1607135204.340,4.100,../dataset20260818/audio/linen/VisTouch_linen_f3_r1_v1_seg04b.wav,../dataset20260818/tactile/linen/VisTouch_linen_f3_r1_v1_seg04b.csv,../dataset20260818/video/linen/VisTouch_linen_f3_r1_v1_seg04b.avi
VisTouch_linen_f3_r1_v1_seg05a,linen_f3_r1_v1,linen,mabu,麻布,1,3,1,1,half,rise,seg05,seg05a,train,1607135204.340,1607135210.780,6.440,../dataset20260818/audio/linen/VisTouch_linen_f3_r1_v1_seg05a.wav,../dataset20260818/tactile/linen/VisTouch_linen_f3_r1_v1_seg05a.csv,../dataset20260818/video/linen/VisTouch_linen_f3_r1_v1_seg05a.avi
VisTouch_linen_f3_r1_v1_seg05b,linen_f3_r1_v1,linen,mabu,麻布,1,3,1,1,half,fall,seg05,seg05b,train,1607135210.780,1607135214.880,4.100,../dataset20260818/audio/linen/VisTouch_linen_f3_r1_v1_seg05b.wav,../dataset20260818/tactile/linen/VisTouch_linen_f3_r1_v1_seg05b.csv,../dataset20260818/video/linen/VisTouch_linen_f3_r1_v1_seg05b.avi
VisTouch_linen_f3_r1_v1_idle02,linen_f3_r1_v1,linen,mabu,麻布,1,3,1,1,idle,idle,,idle02,train,1607135214.880,1607135221.873,6.993,../dataset20260818/audio/linen/VisTouch_linen_f3_r1_v1_idle02.wav,../dataset20260818/tactile/linen/VisTouch_linen_f3_r1_v1_idle02.csv,../dataset20260818/video/linen/VisTouch_linen_f3_r1_v1_idle02.avi
VisTouch_linen_f3_r1_v1_idle03,linen_f3_r1_v1,linen,mabu,麻布,1,3,1,1,idle,idle,,idle03,train,1607135221.873,1607135228.867,6.993,../dataset20260818/audio/linen/VisTouch_linen_f3_r1_v1_idle03.wav,../dataset20260818/tactile/linen/VisTouch_linen_f3_r1_v1_idle03.csv,../dataset20260818/video/linen/VisTouch_linen_f3_r1_v1_idle03.avi
VisTouch_linen_f6_r1_v1_idle01,linen_f6_r1_v1,linen,mabu,麻布,1,6,1,1,idle,idle,,idle01,train,1607135340.000,1607135346.740,6.740,../dataset20260818/audio/linen/VisTouch_linen_f6_r1_v1_idle01.wav,../dataset20260818/tactile/linen/VisTouch_linen_f6_r1_v1_idle01.csv,../dataset20260818/video/linen/VisTouch_linen_f6_r1_v1_idle01.avi
VisTouch_linen_f6_r1_v1_seg01a,linen_f6_r1_v1,linen,mabu,麻布,1,6,1,1,half,rise,seg01,seg01a,train,1607135346.740,1607135353.190,6.450,../dataset20260818/audio/linen/VisTouch_linen_f6_r1_v1_seg01a.wav,../dataset20260818/tactile/linen/VisTouch_linen_f6_r1_v1_seg01a.csv,../dataset20260818/video/linen/VisTouch_linen_f6_r1_v1_seg01a.avi
VisTouch_linen_f6_r1_v1_seg01b,linen_f6_r1_v1,linen,mabu,麻布,1,6,1,1,half,fall,seg01,seg01b,train,1607135353.190,1607135357.340,4.150,../dataset20260818/audio/linen/VisTouch_linen_f6_r1_v1_seg01b.wav,../dataset20260818/tactile/linen/VisTouch_linen_f6_r1_v1_seg01b.csv,../dataset20260818/video/linen/VisTouch_linen_f6_r1_v1_seg01b.avi
VisTouch_linen_f6_r1_v1_seg02a,linen_f6_r1_v1,linen,mabu,麻布,1,6,1,1,half,rise,seg02,seg02a,train,1607135357.340,1607135363.750,6.410,../dataset20260818/audio/linen/VisTouch_linen_f6_r1_v1_seg02a.wav,../dataset20260818/tactile/linen/VisTouch_linen_f6_r1_v1_seg02a.csv,../dataset20260818/video/linen/VisTouch_linen_f6_r1_v1_seg02a.avi
VisTouch_linen_f6_r1_v1_seg02b,linen_f6_r1_v1,linen,mabu,麻布,1,6,1,1,half,fall,seg02,seg02b,train,1607135363.750,1607135367.920,4.170,../dataset20260818/audio/linen/VisTouch_linen_f6_r1_v1_seg02b.wav,../dataset20260818/tactile/linen/VisTouch_linen_f6_r1_v1_seg02b.csv,../dataset20260818/video/linen/VisTouch_linen_f6_r1_v1_seg02b.avi
VisTouch_linen_f6_r1_v1_seg03a,linen_f6_r1_v1,linen,mabu,麻布,1,6,1,1,half,rise,seg03,seg03a,train,1607135367.920,1607135374.390,6.470,../dataset20260818/audio/linen/VisTouch_linen_f6_r1_v1_seg03a.wav,../dataset20260818/tactile/linen/VisTouch_linen_f6_r1_v1_seg03a.csv,../dataset20260818/video/linen/VisTouch_linen_f6_r1_v1_seg03a.avi
VisTouch_linen_f6_r1_v1_seg03b,linen_f6_r1_v1,linen,mabu,麻布,1,6,1,1,half,fall,seg03,seg03b,train,1607135374.390,1607135378.540,4.150,../dataset20260818/audio/linen/VisTouch_linen_f6_r1_v1_seg03b.wav,../dataset20260818/tactile/linen/VisTouch_linen_f6_r1_v1_seg03b.csv,../dataset20260818/video/linen/VisTouch_linen_f6_r1_v1_seg03b.avi
VisTouch_linen_f6_r1_v1_seg04a,linen_f6_r1_v1,linen,mabu,麻布,1,6,1,1,half,rise,seg04,seg04a,train,1607135378.540,1607135384.960,6.420,../dataset20260818/audio/linen/VisTouch_linen_f6_r1_v1_seg04a.wav,../dataset20260818/tactile/linen/VisTouch_linen_f6_r1_v1_seg04a.csv,../dataset20260818/video/linen/VisTouch_linen_f6_r1_v1_seg04a.avi
VisTouch_linen_f6_r1_v1_seg04b,linen_f6_r1_v1,linen,mabu,麻布,1,6,1,1,half,fall,seg04,seg04b,train,1607135384.960,1607135389.140,4.180,../dataset20260818/audio/linen/VisTouch_linen_f6_r1_v1_seg04b.wav,../dataset20260818/tactile/linen/VisTouch_linen_f6_r1_v1_seg04b.csv,../dataset20260818/video/linen/VisTouch_linen_f6_r1_v1_seg04b.avi
VisTouch_linen_f6_r1_v1_seg05a,linen_f6_r1_v1,linen,mabu,麻布,1,6,1,1,half,rise,seg05,seg05a,train,1607135389.140,1607135395.650,6.510,../dataset20260818/audio/linen/VisTouch_linen_f6_r1_v1_seg05a.wav,../dataset20260818/tactile/linen/VisTouch_linen_f6_r1_v1_seg05a.csv,../dataset20260818/video/linen/VisTouch_linen_f6_r1_v1_seg05a.avi
VisTouch_linen_f6_r1_v1_seg05b,linen_f6_r1_v1,linen,mabu,麻布,1,6,1,1,half,fall,seg05,seg05b,train,1607135395.650,1607135399.760,4.110,../dataset20260818/audio/linen/VisTouch_linen_f6_r1_v1_seg05b.wav,../dataset20260818/tactile/linen/VisTouch_linen_f6_r1_v1_seg05b.csv,../dataset20260818/video/linen/VisTouch_linen_f6_r1_v1_seg05b.avi
VisTouch_linen_f6_r1_v1_idle02,linen_f6_r1_v1,linen,mabu,麻布,1,6,1,1,idle,idle,,idle02,train,1607135399.760,1607135407.163,7.403,../dataset20260818/audio/linen/VisTouch_linen_f6_r1_v1_idle02.wav,../dataset20260818/tactile/linen/VisTouch_linen_f6_r1_v1_idle02.csv,../dataset20260818/video/linen/VisTouch_linen_f6_r1_v1_idle02.avi
VisTouch_linen_f6_r1_v1_idle03,linen_f6_r1_v1,linen,mabu,麻布,1,6,1,1,idle,idle,,idle03,train,1607135407.163,1607135414.567,7.403,../dataset20260818/audio/linen/VisTouch_linen_f6_r1_v1_idle03.wav,../dataset20260818/tactile/linen/VisTouch_linen_f6_r1_v1_idle03.csv,../dataset20260818/video/linen/VisTouch_linen_f6_r1_v1_idle03.avi
VisTouch_linen_f9_r1_v1_idle01,linen_f9_r1_v1,linen,mabu,麻布,1,9,1,1,idle,idle,,idle01,test,1607135572.000,1607135579.200,7.200,../dataset20260818/audio/linen/VisTouch_linen_f9_r1_v1_idle01.wav,../dataset20260818/tactile/linen/VisTouch_linen_f9_r1_v1_idle01.csv,../dataset20260818/video/linen/VisTouch_linen_f9_r1_v1_idle01.avi
