session_id,material_pinyin,material_english,material_chinese,force_n,path_type,camera_view,raw_audio_filename,raw_tactile_filename,raw_video_filename,naming_notes,audio_start_unix,audio_end_unix,audio_duration_s,audio_sample_rate_hz,audio_nframes,tactile_rows,tactile_first_ts_unix,tactile_last_ts_unix,tactile_duration_s,tactile_est_fs_hz,video_frame_count,video_fps,video_width,video_height,video_duration_s
silk_f9_r1_v1,sichou,silk,丝绸,9,1,1,sichou\sichou_f9r1v1.wav,sichou_f9r1v1.csv,sichou\sichou_f9r1v1.avi,,1607154486,1607154561,74.944,16000,1199104,2163,1607154486,1607154555,69,31.35,2237,30.0,640,480,74.567
spandex_f3_r1_v1,anlun,spandex,氨纶,3,1,1,anlun\anlun_f3r1v1(linsheng).wav,anlun_f3r1v1.csv,anlun\anlun_f3r1v1.avi,audio filename 'anlun_f3r1v1(linsheng).wav' cleaned from stray suffix,1607156643,1607156718,74.944,16000,1199104,2219,1607156643,1607156715,72,30.82,2257,30.0,640,480,75.233
spandex_f6_r1_v1,anlun,spandex,氨纶,6,1,1,anlun\anlun_f6r1v1.wav,anlun_f6r1v1.csv,anlun\anlun_f6r1v1.avi,,1607157004,1607157079,74.944,16000,1199104,8516,1607157006,1607157075,69,123.42,2231,30.0,640,480,74.367
spandex_f9_r1_v1,anlun,spandex,氨纶,9,1,1,anlun\anlun_f9r1v1.wav,anlun_f9r1v1.csv,anlun\anlun_f9r1v1.avi,,1607157235,1607157310,74.944,16000,1199104,10694,1607157237,1607157323,86,124.35,2252,30.0,640,480,75.067
stone_f3_r1_v1,shitou,stone,石头,3,1,1,shitou\shitou01_f3r1v1.wav,shitou01_f3r1v1.csv,shitou\shitou01_f3r1v1.avi,,1607153169,1607153244,74.944,16000,1199104,8427,1607153171,1607153239,68,123.93,2243,30.0,640,480,74.767
stone_f6_r1_v1,shitou,stone,石头,6,1,1,shitou\shitou01_f6r1v1.wav,shitou01_f6r1v1.csv,shitou\shitou01_f6r1v1.avi,,1607153369,1607153444,74.944,16000,1199104,8924,1607153370,1607153441,71,125.69,2256,30.0,640,480,75.2
stone_f9_r1_v1,shitou,stone,石头,9,1,1,shitou\shitou01_f9r1v1.wav,shitou01_f9r1v1.csv,shitou\shitou01_f9r1v1.avi,,1607153540,1607153615,74.944,16000,1199104,8613,1607153542,1607153611,69,124.83,2262,30.0,640,480,75.4
wood_f3_r1_v1,muban,wood,木板,3,1,1,muban\muban01_f3r1v1.wav,muban_f3r1v1.csv,muban\muban01_f3r1v1.avi,,1607154803,1607154878,74.944,16000,1199104,8846,1607154804,1607154875,71,124.59,2253,30.0,640,480,75.1
wood_f6_r1_v1,muban,wood,木板,6,1,1,muban\muban01_f6r1v1.wav,muban_f6r1v1.csv,muban\muban01_f6r1v1.avi,,1607154944,1607155019,74.944,16000,1199104,10382,1607154946,1607155030,84,123.6,2233,30.0,640,480,74.433
wood_f9_r1_v1,muban,wood,木板,9,1,1,muban\muban01_f9r1v1.wav,muban_f9r1v1.csv,muban\muban01_f9r1v1.avi,,1607155063,1607155138,74.944,16000,1199104,8664,1607155065,1607155134,69,125.57,2261,30.0,640,480,75.367
